date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-09-24,37.68333333333333,24.15416666666667,779.0416666666666,74.83333333333333,27.575,60.833333333333336,0.30875,11.125,1.6916666666666667,78.66666666666667,58.041666666666664
2022-09-25,31.991666666666664,20.620833333333334,694.6666666666666,79.40416666666667,24.429166666666664,54.791666666666664,0.25916666666666666,8.875,1.7229166666666667,75.875,56.958333333333336
2022-09-26,29.241666666666664,17.579166666666666,493.7083333333333,60.5875,17.087500000000002,54.708333333333336,0.28541666666666665,13.666666666666666,1.6145833333333333,63.083333333333336,43.291666666666664
2022-09-27,37.604166666666664,21.520833333333332,452.0833333333333,54.0625,24.03333333333333,66.29166666666667,0.2891666666666667,25.0,1.54375,66.91666666666667,45.416666666666664
2022-09-28,35.125,21.47083333333333,395.6666666666667,46.31666666666666,30.337500000000002,70.54166666666667,0.24333333333333332,16.333333333333332,1.4895833333333333,69.625,48.375
2022-09-29,36.69583333333333,23.575,702.5,67.41666666666667,32.75416666666667,55.583333333333336,0.28625,11.541666666666666,1.4520833333333334,71.83333333333333,53.333333333333336
2022-09-30,37.762499999999996,25.145833333333332,876.8333333333334,88.48333333333333,35.61666666666667,48.833333333333336,0.275,7.083333333333333,1.4541666666666666,78.5,60.541666666666664
2022-10-01,40.025,26.025000000000002,667.2083333333334,74.61666666666666,27.745833333333334,54.833333333333336,0.3104166666666667,11.458333333333334,1.40625,77.75,58.708333333333336
2022-10-02,32.604166666666664,21.158333333333335,613.625,63.22083333333333,31.883333333333336,62.208333333333336,0.38125000000000003,9.291666666666666,1.2458333333333333,75.25,56.541666666666664
2022-10-03,42.3375,25.8875,935.7916666666666,80.50416666666666,35.55833333333333,45.791666666666664,0.27708333333333335,18.5,1.3333333333333333,73.95833333333333,55.208333333333336
2022-10-04,36.62083333333333,22.90833333333333,1011.6666666666666,83.97083333333333,35.42916666666667,49.375,0.18541666666666667,13.125,1.3854166666666667,79.0,61.166666666666664
2022-10-05,35.1875,21.883333333333336,1017.4166666666666,93.15416666666665,41.079166666666666,45.458333333333336,0.19625,12.875,1.3604166666666666,69.33333333333333,52.166666666666664
2022-10-06,41.333333333333336,26.120833333333334,912.25,88.7,40.06666666666667,54.75,0.2070833333333333,13.583333333333334,1.41875,76.625,58.958333333333336
2022-10-07,40.324999999999996,26.070833333333336,840.1666666666666,85.4375,37.24583333333333,50.166666666666664,0.22875,10.333333333333334,1.4020833333333333,81.875,61.833333333333336
2022-10-08,41.016666666666666,25.745833333333334,701.6666666666666,70.51666666666667,31.183333333333334,49.375,0.2916666666666667,14.75,1.3291666666666668,79.5,60.833333333333336
2022-10-09,34.99166666666667,22.912499999999998,862.75,74.51666666666667,33.09583333333333,47.416666666666664,0.24166666666666667,7.916666666666667,1.3083333333333333,76.75,58.666666666666664
2022-10-10,36.829166666666666,24.045833333333334,989.0416666666666,86.64583333333333,37.512499999999996,45.333333333333336,0.3016666666666667,8.333333333333334,1.3291666666666668,71.66666666666667,54.916666666666664
2022-10-11,39.237500000000004,23.429166666666664,1036.5833333333333,87.70833333333333,43.012499999999996,43.916666666666664,0.2891666666666667,18.208333333333332,1.3604166666666666,77.75,59.625
